职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
初级Java开发工程师,6-10K,"['1-3年', '本科']","['MES开发经验', 'Java', '物联网经验', 'SpringCloud', '接受无前端经验/技能', 'Redis', 'Spring', 'ERP开发经验', '接受实习/在校生投递', 'MySQL', 'JavaScript', 'MyBatis', 'Oracle', '区块链经验']",1-3年,本科,杭州,杭州软星科技有限公司,20-99人,"['五险一金', '定期体检', '全勤奖', '年终奖', '带薪年假', '员工旅游', '餐补', '节日福利', '零食下午茶']"
Java 工程师,7-12K,"['1-3年', '本科']","['Java', '物联网经验', '不接受居家办公', '分布式经验', 'PostgreSQL', 'SpringCloud', 'Kafka', 'Redis', 'Spring', '大数据经验', 'Docker', 'MySQL', 'MyBatis']",1-3年,本科,成都,四川博新云数科技,0-20人,"['带薪年假', '股票期权']"
高级java开发经理,7-10K,"['3-5年', '本科']","['Java', '不接受居家办公', 'SpringCloud', 'SQL Server', 'Spring', 'ERP开发经验', 'MySQL', 'MyBatis', 'Oracle']",3-5年,本科,烟台,青蓝技术,20-99人,"['节日福利', '定期体检', '通讯补贴', '五险一金', '年终奖', '员工旅游', '交通补助', '带薪年假']"
Java开发南京紫东现场面试4-5年（现场面）,9-11K,"['3-5年', '大专']","['Java', 'Spring', 'MySQL', '不接受居家办公', '大屏', '地图']",3-5年,大专,南京,南京博锐星润软件,100-499人,[]
Java,10-15K,"['5-10年', '学历不限']","['Java', '不接受居家办公', 'Tomcat', '团队管理经验', 'MySQL', 'MyBatis', 'Redis', 'Spring', 'Oracle']",5-10年,学历不限,重庆,重庆嗅觉网络科技,20-99人,[]
Java（电话面试，双休，花山软件新城上班）,10-13K,"['3-5年', '本科']","['Java', '不接受居家办公', '分布式经验', '微服务经验', 'SpringCloud', 'MySQL', 'Spring', 'Oracle']",3-5年,本科,武汉,软通动力,10000人以上,"['交通补助', '通讯补贴', '节日福利', '带薪年假', '团建活动', '补充医疗保险', '定期体检', '加班补助', '五险一金', '生日福利', '免费班车', '零食下午茶']"
java开发工程师,14-25K·14薪,"['1-3年', '本科']","['Java', 'C++', 'Python', 'C', 'Spring', 'SpringCloud', 'MySQL']",1-3年,本科,上海,上海华为技术有限公司,10000人以上,"['意外险', '生日福利', '年终奖', '五险一金', '补充医疗保险', '零食下午茶', '绩效奖金', '员工旅游', '带薪年假', '加班补助', '法定节假日三薪', '节假日加班费', '保底工资', '团建聚餐', '免费班车', '定期体检', '节日福利', '股票期权', '有无线网']"
软件测试,15-30K·14薪,"['经验不限', '本科']","['Java', 'Spring', 'MySQL', '物联网经验', '不接受居家办公']",经验不限,本科,西安,华为,10000人以上,"['免费班车', '员工旅游', '股票期权', '夜班补助', '定期体检', '零食下午茶', '绩效奖金', '带薪年假', '年终奖', '交通补助', '加班补助', '企业年金', '节假日加班费', '保底工资', '意外险', '法定节假日三薪', '团建聚餐', '补充医疗保险', '五险一金', '节日福利']"
初级java开发工程师,7-12K,"['1-3年', '学历不限']","['Java', 'Nginx', 'Docker', 'MySQL', 'Redis']",1-3年,学历不限,上海,海虎健康,20-99人,"['有无线网', '五险一金', '通讯补贴', '股票期权', '节日福利', '绩效奖金', '餐补', '零食下午茶', '员工旅游', '交通补助', '团建聚餐', '带薪年假', '保底工资']"
ai java开发工程师,30-60K,"['经验不限', '本科']","['Java', 'Spring', 'MySQL']",经验不限,本科,深圳,某中型物业信息化计算机软件上市公司,100-499人,"['带薪年假', '五险一金', '定期体检', '节日福利']"
java中级开发工程师,8-9K,"['5-10年', '本科']","['Java', '医疗信息化', '医院']",5-10年,本科,邯郸,民腾计算机技术,100-499人,"['宿舍有空调', '节日福利', '股票期权', '五险一金', '节假日加班费', '绩效奖金', '餐补', '加班补助', '法定节假日三薪', '带薪年假', '生日福利', '有无线网', '工龄奖', '交通补助', '包住', '团建聚餐', '保底工资']"
java开发工程师,10-15K,"['3-5年', '本科']","['Java', 'Spring', 'MyBatis', 'JVM', 'MySQL', '大数据经验', '微服务经验', '不接受居家办公']",3-5年,本科,南京,中数通,1000-9999人,"['生日福利', '节日福利', '带薪年假', '五险一金', '定期体检', '员工旅游', '绩效奖金', '年终奖', '餐补', '企业年金']"
Java（兰卫医学）,10-14K,"['5-10年', '大专']","['Java', 'SpringCloud', 'MySQL', 'Spring']",5-10年,大专,上海,有光科技,500-999人,"['加班补助', '带薪年假', '年终奖', '五险一金', '交通补助', '节日福利']"
Java开发工程师,16-30K·14薪,"['3-5年', '本科']","['Java', 'SpringCloud', 'Redis', 'Spring']",3-5年,本科,武汉,某中型人力资源服务公司,500-999人,[]
【华为实习】（后端/前端/AI算法/大模型）,270-320元/天,"['5天/周', '2个月', '本科']","['Java', 'C', 'C++', 'Python', 'C#', 'Spring', 'MyBatis', 'MySQL', 'Redis']",,本科,苏州,华为技术有限公司,10000人以上,"['法定节假日三薪', '绩效奖金', '节日福利', '加班补助', '五险一金', '股票期权', '免费班车', '补充医疗保险', '交通补助', '零食下午茶', '生日福利', '夜班补助', '节假日加班费', '带薪年假', '年终奖', '离职补偿', '员工旅游', '保底工资', '团建聚餐', '定期体检']"
软件工程师（工业软件）,15-25K,"['3-5年', '本科']","['Java', 'ERP开发经验', 'MES开发经验', '物联网经验', '不接受居家办公', '开发过MES/MOM系统', '有0-1开发经验优先']",3-5年,本科,广州,广州某小型智能制造领域政府背景公司,20-99人,"['零食下午茶', '年终奖', '五险一金', '带薪年假', '定期体检', '节日福利', '生日福利']"
java技术专家岗（电商方向）,25-50K·16薪,"['3-5年', '本科']","['Java', '微服务经验', 'MySQL', '架构设计经验', 'Spring']",3-5年,本科,杭州,快手,10000人以上,"['带薪年假', '五险一金', '定期体检', '股票期权', '节日福利', '补充医疗保险', '年终奖']"
数据应用序列助理工程师岗（应用开发方向）,16-30K,"['3-5年', '本科']","['不接受居家办公', 'Java', 'C', 'C++', 'Python', 'PHP', 'Spring', 'Tomcat', 'Zookeeper', 'JVM', 'Oracle', 'Spark', 'Hive', 'Hadoop']",3-5年,本科,北京,民生科技,1000-9999人,"['团建聚餐', '意外险', '包吃', '节日福利', '免费班车', '绩效奖金', '五险一金', '带薪年假', '高温补贴', '交通补助', '补充医疗保险', '生日福利', '定期体检', '餐补', '年终奖']"
资深JAVA软件工程师,25-45K·17薪,"['5-10年', '大专']","['微服务架构', '搜索引擎技术', '分布式技术', '后端开发', 'Spring', '金融保险', 'code revie', '高并发']",5-10年,大专,上海,某大型互联网金融公司,500-999人,"['五险一金', '带薪年假', '员工旅游', '节日福利', '年终奖']"
Java,12-13K,"['1-3年', '本科']","['Java', 'Spring', 'MySQL']",1-3年,本科,上海,嘻码(上海),0-20人,[]
高级开发工程师,18-25K,"['5-10年', '本科']","['Java', 'MySQL', 'Hadoop', 'MyBatis', 'Redis', 'Spring', 'Flink']",5-10年,本科,重庆,数宜信,100-499人,"['五险一金', '节日福利', '零食下午茶', '带薪年假']"
中级java开发工程师,16-18K,"['3-5年', '本科']","['Java', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'Oracle', '微服务经验']",3-5年,本科,成都,广东楷泉科技有限公司,20-99人,[]
java工程师,10-15K,"['1-3年', '本科']","['JVM', 'flink', 'Java', 'Hive', 'SpringCloud', 'MySQL', 'Hadoop', 'MyBatis', 'Redis', 'Spring']",1-3年,本科,深圳,科杰科技,100-499人,"['带薪年假', '补充医疗保险', '股票期权', '节日福利', '定期体检', '团建聚餐', '绩效奖金', '年终奖', '员工旅游', '零食下午茶', '五险一金']"
