职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
java工程师,15-30K,"['经验不限', '学历不限']","['Java', 'Spring', 'SpringCloud', 'MyBatis', 'Nginx', 'Elasticsearch', 'MySQL', 'Redis']",经验不限,学历不限,深圳,乐飞尔网络科技,20-99人,[]
Java开发工程师,6-10K,"['3-5年', '本科']","['Java', 'JavaScript', '后端工程师']",3-5年,本科,济南,义远科技,20-99人,"['五险一金', '定期体检']"
项目经理,6-11K,"['1-3年', '大专']","['实施', '项目管理', '交付']",1-3年,大专,呼和浩特,浪潮软件科技有限公司,1000-9999人,"['节日福利', '餐补', '绩效奖金', '补充医疗保险', '五险一金']"
java,8-11K,"['5-10年', '本科']","['Java', 'Spring', 'MySQL']",5-10年,本科,成都,秦皇岛欧森科技,0-20人,[]
Java工程师  AB实验方向,50-70K·16薪,"['经验不限', '本科']","['Java', 'Spring', 'MySQL', '架构设计经验', '分布式经验', '不接受居家办公', 'AB实验']",经验不限,本科,北京,某大型互联网电商平台上市公司,10000人以上,"['节日福利', '交通补助', '免费班车', '股票期权', '员工旅游', '五险一金', '补充医疗保险', '年终奖', '餐补', '零食下午茶']"
影像系统工程师,28-45K·16薪,"['5-10年', '本科']","['camera', 'camera HAL']",5-10年,本科,深圳,realme,1000-9999人,"['交通补助', '六险一金', '通讯补贴', '补充医疗保险', '年终奖', '节日福利', '生日福利', '住房补贴', '五险一金', '员工旅游', '团建聚餐', '带薪年假', '定期体检', '免费班车', '零食下午茶', '股票期权', '餐补', '法定节假日三薪']"
基础平台研发岗位,40-70K,"['5-10年', '本科']","['Java', 'Spring', 'MySQL']",5-10年,本科,成都,某大型央企人工智能上市公司,1000-9999人,"['年终奖', '绩效奖金', '五险一金', '定期体检', '补充医疗保险', '企业年金']"
php开发,4-6K,"['1-3年', '大专']",[],1-3年,大专,商丘,万企易企业服务,100-499人,"['节日福利', '员工旅游', '带薪年假']"
大模型软件开发工程师（小美智能助理）,25-50K·16薪,"['3-5年', '本科']","['Java', 'Spring', 'MySQL', 'Redis']",3-5年,本科,北京,美团,10000人以上,"['节日福利', '团建聚餐', '法定节假日三薪', '年终奖', '补充医疗保险', '带薪年假', '底薪加提成', '免费工装', '保底工资', '高温补贴', '定期体检', '意外险', '员工旅游', '交通补助', '生日福利', '企业年金', '节假日加班费', '有无线网', '绩效奖金', '工龄奖']"
go服务器,20-40K,"['3-5年', '本科']","['Golang', 'Golang服务端开发经验']",3-5年,本科,上海,某大型游戏公司,100-499人,"['定期体检', '零食下午茶', '股票期权', '五险一金', '补充医疗保险', '带薪年假', '全勤奖', '餐补']"
开发工程师,4-8K,"['经验不限', '学历不限']","['JAVA', 'C#', 'vue']",经验不限,学历不限,佛山,众邦科技,0-20人,"['五险一金', '员工旅游', '免费工装', '节日福利', '零食下午茶', '交通补助', '年终奖', '带薪年假']"
路径规划算法工程师,25-45K,"['1-3年', '本科']","['ARM开发', 'SLAM', '路径规划', '机器人']",1-3年,本科,深圳,巴诺机器人,20-99人,"['五险一金', '股票期权', '带薪年假', '全勤奖', '年终奖', '包住']"
Java高级软件工程师,10-15K,"['1年以内', '本科']","['MySQL', 'Redis', 'Spring', '数据结构']",1年以内,本科,上海,量锐科技,100-499人,"['加班补助', '五险一金', '补充医疗保险', '零食下午茶', '交通补助', '员工生日福利', '年终奖', '餐补', '带薪年假', '节日福利', '定期体检', '员工旅游']"
高级音视频开发工程师,25-50K·15薪,"['1-3年', '本科']","['Java', 'C++', 'C', '音视频编解码', 'C语言', 'FFmpeg', '流媒体技术', 'OpenGL', '封装格式', '流媒体开发经验', '音视频/流媒体开发', '音视频开发经验', '流媒体传输协议']",1-3年,本科,北京,旗偲智能,100-499人,"['五险一金', '年终奖', '企业年金', '带薪年假']"
php全栈工程师,4-6K,"['3-5年', '学历不限']","['PHP', 'PHP开发经验']",3-5年,学历不限,盐城,宇铭,100-499人,"['节日福利', '全勤奖', '员工旅游', '绩效奖金', '年终奖', '保底工资', '底薪加提成', '带薪年假', '生日福利', '企业年金', '工龄奖', '五险一金', '有无线网', '团建聚餐']"
项目经理,12-24K·13薪,"['3-5年', '本科']",['实施交付经验'],3-5年,本科,兰州,北京绥通,100-499人,"['意外险', '带薪年假', '年终奖', '定期体检', '股票期权', '五险一金']"
软件工程师,10-15K,"['3-5年', '本科']","['C#', 'C++', 'QT', 'MFC']",3-5年,本科,深圳,鹏创达自动化有限公司,100-499人,"['补充医疗保险', '员工旅游', '五险一金', '全勤奖', '年终奖', '带薪年假', '加班补助']"
c#软件工程师,15-25K·13薪,"['5-10年', '本科']","['C#', 'ASP.NET', 'SQL Server', '系统架构设计经验', 'C#开发经验', '计算机相关专业', '不限']",5-10年,本科,苏州,苏州金枪鱼智能科技,0-20人,"['法定节假日三薪', '五险一金', '生日福利', '意外险', '带薪年假', '员工旅游', '绩效奖金', '团建聚餐', '餐补', '有无线网', '年终奖', '定期体检', '节日福利', '保底工资']"
高级c++开发工程师,10-12K,"['1-3年', '本科']","['C++', 'C', 'Java', 'Python']",1-3年,本科,深圳,微见,100-499人,"['绩效奖金', '五险一金', '通讯补贴', '节日福利', '年终奖', '节假日加班费', '员工旅游', '带薪年假', '免费班车', '加班补助', '股票期权', '夜班补助', '保底工资', '交通补助', '团建聚餐', '零食下午茶']"
初级系统集成应用工程师,8-13K,"['1年以内', '本科']","['单片机开发', 'ARM开发', '嵌入式技术', '驱动开发']",1年以内,本科,苏州,辅易航智能科技,100-499人,"['年终奖', '补充医疗保险', '节日福利', '员工旅游', '交通补助', '股票期权', '五险一金', '带薪年假', '定期体检', '包吃']"
服务端程序,8-10K,"['1-3年', '本科']",[],1-3年,本科,厦门,厦门风领科技,100-499人,"['交通补助', '团建聚餐', '夜班补助', '年终奖', '法定节假日三薪', '五险一金', '员工旅游', '节假日加班费', '零食下午茶', '定期体检', '生日福利', '节日福利', '带薪年假']"
青岛Java-统招-线上面试-长期稳定,14-15K,"['5-10年', '本科']","['Java', '不接受居家办公', 'SpringCloud', 'Redis', 'spingboot', 'Spring']",5-10年,本科,日照,信华信,1000-9999人,"['年终奖', '节假日加班费', '免费班车', '生日福利', '宿舍有空调', '带薪年假', '加班补助', '补充医疗保险', '节日福利', '五险一金', '定期体检', '意外险', '股票期权', '团建聚餐']"
后台开发架构师(J10999),30-40K,"['5-10年', '本科']","['Java', 'Python', 'Spring', 'MySQL', 'MongoDB', '架构设计经验', '分布式经验']",5-10年,本科,深圳,深圳云知声信息技...,500-999人,"['五险一金', '通讯补贴', '全额五险一金', '定期体检', '带薪年假', '员工旅游', '餐补', '年终奖', '补充医疗保险']"
高性能计算工程师,20-40K·14薪,"['经验不限', '硕士']","['Pytorch', '算法', 'C++', '高性能计算', 'onnx', 'TensorRT']",经验不限,硕士,北京,阿丘科技,100-499人,"['意外险', '节日福利', '员工旅游', '补充医疗保险', '带薪年假', '年终奖', '定期体检', '团建聚餐', '餐补', '五险一金', '领导nice']"
C/C++开发工程师,14-28K·14薪,"['3-5年', '本科']","['C++', 'C', 'QT', 'MySQL', 'Redis']",3-5年,本科,南京,陕西海饼干科技,20-99人,"['高温补贴', '绩效奖金', '加班补助', '有无线网', '生日福利', '定期体检', '五险一金', '保底工资', '补充医疗保险', '年终奖', '法定节假日三薪', '节假日加班费']"
上位机软件工程师,13-18K,"['3-5年', '大专']",[],3-5年,大专,深圳,AVIEW,100-499人,"['绩效奖金', '节日福利', '加班补助', '夜班补助', '员工旅游', '带薪年假', '五险一金', '团建聚餐', '年终奖', '餐补', '节假日加班费', '定期体检', '零食下午茶']"
java开发（驻场银行+长期稳定+周末双休）,17-20K,"['5-10年', '本科']","['Java', '不接受居家办公', '分布式经验', '银行', 'SpringCloud', 'Hadoop', 'Redis', 'Spring', '金融', '大数据经验', '微服务经验', 'MySQL', '互联网大厂经验', 'MyBatis', 'Oracle']",5-10年,本科,北京,信雅达科技股份,1000-9999人,"['定期体检', '餐补', '带薪年假', '年终奖', '节日福利', '五险一金', '股票期权']"
G-07-大模型应用平台开发工程师/专家-北京,35-50K·16薪,"['3-5年', '本科']","['Java', '大模型应用平台']",3-5年,本科,北京,某大型互联网地图服务及导航服务上市公司,1000-9999人,"['年终奖', '免费班车', '定期体检', '带薪年假', '餐补', '补充医疗保险', '股票期权', '五险一金', '交通补助', '包吃', '员工旅游', '节日福利', '住房补贴']"
高级后端工程师（广州上班非外包）,26-30K,"['5-10年', '本科']","['不接受居家办公', 'Java', 'Spring', 'SpringCloud', 'JVM', 'MySQL', 'PostgreSQL', '架构设计经验', '分布式经验', '微服务经验', 'MES开发经验', 'Spring Cloud', '架构设计', 'MES', 'Wms', 'DDD']",5-10年,本科,深圳,某中型电子/半导体/集成电路公司,100-499人,[]
c语言开发工程师,8-12K,"['在校/应届', '本科']","['C++', 'C', '嵌入式软件经验', 'Linux开发/部署经验']",在校/应届,本科,南京,六方云,100-499人,"['餐补', '节日福利', '五险一金', '定期体检', '带薪年假', '通讯补贴', '零食下午茶', '股票期权']"
java工程师,5-10K,"['1-3年', '本科']","['Java', 'MySQL', 'Spring']",1-3年,本科,宜宾,数政科技,100-499人,"['五险一金', '全勤奖', '带薪年假', '年终奖', '定期体检', '员工旅游', '股票期权', '餐补', '节日福利', '零食下午茶']"
高级java开发工程师,10-15K,"['3-5年', '本科']","['Java', '工作流引擎flowable', 'flowable', 'SpringCloud', 'MySQL', 'Redis', '其他', 'Spring', 'ERP开发经验', '有前端经验/技能']",3-5年,本科,厦门,厦门创业人环保科技,500-999人,"['免费工装', '绩效奖金', '五险一金', '带薪年假', '全勤奖', '节日福利', '夜班补助', '工龄奖', '生日福利']"
机器人开发工程师,8-12K,"['3-5年', '本科']","['C++', '团队管理经验', '架构设计经验', 'Linux开发/部署经验', '嵌入式软件经验', '分布式经验']",3-5年,本科,广州,广州笑宇环保科技,500-999人,['底薪加提成']
中高级python开发工程师,10-15K,"['3-5年', '大专']","['跨境电商', '朝九晚六', 'web反爬策略', '爬虫技术', 'MySQL', '入职即购买五险一金', 'Python', 'Flask']",3-5年,大专,深圳,卓士网络咨询,500-999人,"['节日福利', '零食下午茶', '生日福利', '五险一金', '团建聚餐']"
EDA开发工程师（科学计算方向）,18-35K·15薪,"['经验不限', '硕士']","['C++', '数学', 'Harmonic Balance', '算法']",经验不限,硕士,深圳,比昂芯科技,100-499人,"['交通补助', '节日福利', '工龄奖', '零食下午茶', '生日福利', '团建聚餐', '股票期权', '通讯补贴', '年终奖', '五险一金', '补充医疗保险', '带薪年假', '定期体检']"
软件开发,15-30K,"['经验不限', '硕士']","['Java', 'C', 'C++', 'Python', 'MySQL', 'SQL Server']",经验不限,硕士,东莞,华为,10000人以上,"['五险一金', '年终奖', '节假日加班费', '带薪年假', '保底工资', '企业年金', '加班补助', '补充医疗保险', '定期体检', '交通补助', '零食下午茶', '意外险', '免费班车', '夜班补助', '团建聚餐', '股票期权', '法定节假日三薪', '节日福利', '员工旅游', '绩效奖金']"
服务端专家（智能Agent数据方向）,55-60K·15薪,"['10年以上', '本科']","['Java', 'Spring', 'SpringCloud', 'Zookeeper', 'Elasticsearch', 'Docker', 'MySQL', 'Redis', 'SQL Server', '架构设计经验', '分布式经验', '微服务经验', '不接受居家办公', 'agent', '数据应用']",10年以上,本科,北京,某大型知名互联网公司,10000人以上,"['团建聚餐', '交通补助', '加班补助', '节日福利', '五险一金', '绩效奖金', '高温补贴']"
【外企数字化】Java开发工程师,18-25K·13薪,"['3-5年', '本科']","['Java', 'Kafka', 'MySQL', '不接受居家办公']",3-5年,本科,深圳,某500强上市公司,500-999人,"['五险一金', '定期体检', '带薪年假']"
c++高级研发工程师,10-12K,"['1-3年', '本科']","['有bsp稳定性 升级相关', 'C++', 'UFS EMMC SD卡的驱动', 'MySQL', 'Linux开发/部署经验']",1-3年,本科,西安,诚迈科技,1000-9999人,"['交通补助', '通讯补贴', '节日福利', '定期体检', '五险一金', '加班补助', '法定节假日三薪', '员工旅游', '带薪年假', '餐补', '免费班车', '团建聚餐']"
Java开发工程师（财务）,30-45K·15薪,"['5-10年', '本科']","['Java', 'Nginx', 'Spring', 'MySQL', '架构设计经验', '不接受居家办公']",5-10年,本科,深圳,某知名电子商务公司,1000-9999人,"['年终奖', '带薪年假', '零食下午茶', '五险一金', '股票期权', '团建聚餐', '生日福利', '定期体检', '包吃', '加班补助', '住房补贴', '餐补']"
Python后端副总裁（外资银行，工作生活平衡,35-60K·14薪,"['10年以上', '本科']","['Python', 'Flask']",10年以上,本科,广州,某大型金融服务公司,10000人以上,[]
【日常实习】CS-Video前端开发-SZ,400-450元/天,"['5天/周', '3个月', '本科']","['Java', 'C++', 'MySQL', 'Spring']",,本科,深圳,Shopee,1000-9999人,"['五险一金', '补充医疗保险', '定期体检', '带薪年假', '零食下午茶']"
外企全栈偏后端开发工程师,20-21K,"['经验不限', '学历不限']","['Java', 'Spring', 'Docker', 'SpringCloud', 'MySQL', '接受居家办公']",经验不限,学历不限,西安,某大型计算机软件公司,1000-9999人,"['五险一金', '零食下午茶', '定期体检', '年终奖', '通讯补贴', '带薪年假', '节日福利', '补充医疗保险']"
Python开发工程师（图像与多模态方向）,21-40K,"['3-5年', '本科']","['Python', 'Java', 'Django', 'Flask', 'Tornado', 'Numpy', 'Pandas', 'MySQL', 'Redis', 'Oracle', 'MongoDB', 'HBase', '架构设计经验', '分布式经验', '爬虫经验']",3-5年,本科,上海,开外科技,20-99人,"['补充医疗保险', '有无线网', '工龄奖', '零食下午茶', '带薪年假', '五险一金', '法定节假日三薪', '股票期权', '团建聚餐', '节日福利']"
软件工程师(编译器/湖南常德/包吃住双休),15-25K,"['经验不限', '硕士']","['编译器开发经验', 'C++', 'C', 'MySQL', '调试器/汇编器', 'IDE', '编程能力', 'Python']",经验不限,硕士,武汉,迪文科技,1000-9999人,"['购买五险', '结婚礼金', '法定节假日', '带薪年假', '定期体检', '春节带薪假']"
java开发工程师,13-15K,"['3-5年', '本科']","['Java', 'Spring', 'SpringCloud', 'MySQL', '不接受居家办公']",3-5年,本科,上海,上海高鼎,20-99人,"['绩效奖金', '年终奖', '带薪年假', '餐补', '员工旅游', '弹性考勤', '周末双休', '五险一金', '团建聚餐', '夜班补助']"
Java研发工程师,10-15K,"['3-5年', '本科']","['Java', 'Spring', 'SpringCloud', 'MySQL', 'SQL Server', '微服务经验']",3-5年,本科,天津,浙江求圣,100-499人,"['五险一金', '生日福利', '年终奖', '带薪年假', '节假日加班费', '团建聚餐', '加班补助', '节日福利']"
Java开发,11-17K,"['1-3年', '本科']","['Java', '大数据经验', 'SpringCloud', 'Hadoop', 'MyBatis', 'Redis', 'Spark', 'Spring', 'Python']",1-3年,本科,合肥,百得思维,1000-9999人,"['零食下午茶', '五险一金', '生日福利', '食堂', '带薪年假', '免费班车', '通讯补贴', '员工旅游', '补充医疗保险', '定期体检', '年终奖', '节日福利', '交通补助', '绩效奖金', '餐补', '夜班补助']"
初级全栈工程师,100-150元/天,"['5天/周', '6个月', '硕士']","['全栈无侧重', '全栈侧重后端', '全栈侧重前端', 'JavaScript', 'HTML', 'CSS', 'Vue', 'React', 'Java', 'Python', 'MyBatis', 'Spring/Spring Boot', 'MySQL/Redis/MongoDB', '计算机相关专业', '全栈项目经验', '前端开发经验', '后端开发经验', '英语读写能力良好']",,硕士,苏州,哆哆鲤,0-20人,"['股票期权', '全勤奖', '底薪加提成', '五险一金', '绩效奖金', '保底工资']"
软件后端开发工程师,4-9K,"['经验不限', '本科']","['Python', 'Java', 'Golang', 'Nginx', 'HBase']",经验不限,本科,济南,三晖光电,20-99人,"['节日福利', '年终奖', '五险一金']"
